neighbourhood_cleansed,room_type,minimum_nights,count,mean,std,min,25%,50%,75%,max,mode
Indre By,Private room,7,3.0,340.0,149.33184523068078,170.0,285.0,400.0,425.0,450.0,170.0
Indre By,Private room,15,1.0,334.0,,334.0,334.0,334.0,334.0,334.0,334.0
Indre By,Private room,20,11.0,969.1818181818181,226.7623505707322,580.0,816.0,996.0,1165.0,1250.0,580.0
Indre By,Private room,21,1.0,230.0,,230.0,230.0,230.0,230.0,230.0,230.0
Indre By,Private room,90,1.0,297.0,,297.0,297.0,297.0,297.0,297.0,297.0
Indre By,Private room,99,1.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
Indre By,Private room,160,1.0,260.0,,260.0,260.0,260.0,260.0,260.0,260.0
Indre By,Shared room,1,4.0,292.0,67.57711644237764,223.0,265.0,280.0,307.0,385.0,223.0
Nørrebro,Entire home/apt,1,211.0,1134.8388625592418,973.8727220088803,308.0,789.0,950.0,1200.0,12500.0,800.0
Nørrebro,Entire home/apt,2,536.0,1047.669776119403,436.44678418022306,328.0,775.0,950.0,1200.0,3189.0,1000.0
Nørrebro,Entire home/apt,3,506.0,1073.2430830039525,596.7444203089647,350.0,799.0,950.0,1200.0,7429.0,800.0
Nørrebro,Entire home/apt,4,274.0,1036.8357664233577,524.7531134461124,310.0,750.0,971.0,1197.5,6000.0,1000.0
Nørrebro,Entire home/apt,5,181.0,1074.8397790055249,540.4486220497805,400.0,750.0,950.0,1200.0,5000.0,800.0
Nørrebro,Entire home/apt,6,58.0,914.6724137931035,396.6053935248722,216.0,679.0,850.0,1012.5,2250.0,500.0
Nørrebro,Entire home/apt,7,54.0,939.3888888888889,461.55227904248096,350.0,661.25,850.0,1050.0,3300.0,1000.0
Nørrebro,Entire home/apt,8,3.0,812.3333333333334,388.981147786539,387.0,643.5,900.0,1025.0,1150.0,387.0
Nørrebro,Entire home/apt,9,3.0,757.3333333333334,64.46963109351049,707.0,721.0,735.0,782.5,830.0,707.0
Nørrebro,Entire home/apt,10,13.0,837.5384615384615,238.46579607448086,500.0,700.0,750.0,940.0,1400.0,700.0
Nørrebro,Entire home/apt,12,3.0,778.6666666666666,106.26539104211368,677.0,723.5,770.0,829.5,889.0,677.0
Nørrebro,Entire home/apt,13,1.0,550.0,,550.0,550.0,550.0,550.0,550.0,550.0
Nørrebro,Entire home/apt,14,14.0,892.1428571428571,394.69693478626147,450.0,700.0,800.0,1069.75,2000.0,800.0
Nørrebro,Entire home/apt,15,2.0,819.5,98.2878425849301,750.0,784.75,819.5,854.25,889.0,750.0
Nørrebro,Entire home/apt,16,1.0,635.0,,635.0,635.0,635.0,635.0,635.0,635.0
Nørrebro,Entire home/apt,17,1.0,780.0,,780.0,780.0,780.0,780.0,780.0,780.0
Nørrebro,Entire home/apt,20,5.0,744.0,185.24983130896504,480.0,700.0,750.0,795.0,995.0,480.0
Nørrebro,Entire home/apt,21,4.0,668.75,298.8415131804817,335.0,458.75,695.0,905.0,950.0,335.0
Nørrebro,Entire home/apt,22,2.0,450.0,141.4213562373095,350.0,400.0,450.0,500.0,550.0,350.0
Nørrebro,Entire home/apt,25,1.0,950.0,,950.0,950.0,950.0,950.0,950.0,950.0
Nørrebro,Entire home/apt,27,1.0,720.0,,720.0,720.0,720.0,720.0,720.0,720.0
Nørrebro,Entire home/apt,29,1.0,590.0,,590.0,590.0,590.0,590.0,590.0,590.0
Nørrebro,Entire home/apt,30,3.0,619.0,271.82899035974805,333.0,491.5,650.0,762.0,874.0,333.0
Nørrebro,Entire home/apt,35,1.0,588.0,,588.0,588.0,588.0,588.0,588.0,588.0
Nørrebro,Entire home/apt,50,2.0,574.5,359.9173516239527,320.0,447.25,574.5,701.75,829.0,320.0
Nørrebro,Entire home/apt,60,2.0,524.5,105.35891039679558,450.0,487.25,524.5,561.75,599.0,450.0
Nørrebro,Entire home/apt,75,1.0,951.0,,951.0,951.0,951.0,951.0,951.0,951.0
Nørrebro,Entire home/apt,90,1.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
Nørrebro,Entire home/apt,91,1.0,500.0,,500.0,500.0,500.0,500.0,500.0,500.0
Nørrebro,Entire home/apt,360,1.0,500.0,,500.0,500.0,500.0,500.0,500.0,500.0
Nørrebro,Entire home/apt,500,1.0,579.0,,579.0,579.0,579.0,579.0,579.0,579.0
Nørrebro,Entire home/apt,1111,1.0,950.0,,950.0,950.0,950.0,950.0,950.0,950.0
Nørrebro,Private room,1,40.0,615.4,403.35966008590316,79.0,402.25,500.0,637.5,2000.0,500.0
Nørrebro,Private room,2,52.0,798.3269230769231,1251.4846198698324,250.0,423.25,525.0,750.0,8400.0,500.0
Nørrebro,Private room,3,24.0,580.75,201.07001808801093,300.0,418.75,585.5,694.25,1000.0,650.0
Nørrebro,Private room,4,15.0,507.4,234.86372948706114,269.0,333.0,493.0,575.0,1143.0,269.0
Nørrebro,Private room,5,6.0,791.8333333333334,597.7967603347032,290.0,453.5,657.0,772.75,1950.0,290.0
Nørrebro,Private room,6,1.0,514.0,,514.0,514.0,514.0,514.0,514.0,514.0
Nørrebro,Private room,7,8.0,799.375,494.7102867913127,457.0,537.5,619.0,775.0,1950.0,457.0
Nørrebro,Private room,8,2.0,560.0,53.74011537017761,522.0,541.0,560.0,579.0,598.0,522.0
Nørrebro,Private room,10,2.0,522.5,243.9518395093589,350.0,436.25,522.5,608.75,695.0,350.0
Nørrebro,Private room,14,3.0,416.6666666666667,194.1863366288507,200.0,337.5,475.0,525.0,575.0,200.0
Nørrebro,Private room,17,1.0,325.0,,325.0,325.0,325.0,325.0,325.0,325.0
Nørrebro,Private room,20,1.0,270.0,,270.0,270.0,270.0,270.0,270.0,270.0
Nørrebro,Private room,21,2.0,600.0,70.71067811865476,550.0,575.0,600.0,625.0,650.0,550.0
Nørrebro,Private room,30,5.0,278.6,45.40154182403941,210.0,267.0,284.0,299.0,333.0,210.0
Nørrebro,Private room,31,1.0,399.0,,399.0,399.0,399.0,399.0,399.0,399.0
Nørrebro,Private room,60,1.0,480.0,,480.0,480.0,480.0,480.0,480.0,480.0
Nørrebro,Private room,70,1.0,450.0,,450.0,450.0,450.0,450.0,450.0,450.0
Nørrebro,Shared room,1,1.0,400.0,,400.0,400.0,400.0,400.0,400.0,400.0
Nørrebro,Shared room,2,1.0,400.0,,400.0,400.0,400.0,400.0,400.0,400.0
Nørrebro,Shared room,6,1.0,174.0,,174.0,174.0,174.0,174.0,174.0,174.0
Valby,Entire home/apt,1,71.0,1176.8450704225352,1219.0014724928094,303.0,699.5,850.0,1200.0,7429.0,700.0
Valby,Entire home/apt,2,112.0,900.6607142857143,370.71925594850984,350.0,650.0,850.0,1061.75,2643.0,850.0
Valby,Entire home/apt,3,96.0,1003.6458333333334,471.55232961083277,329.0,700.0,926.5,1200.0,3300.0,1000.0
Valby,Entire home/apt,4,72.0,1015.3333333333334,365.8039958506218,500.0,750.0,957.5,1200.0,2008.0,800.0
Valby,Entire home/apt,5,51.0,976.0588235294117,518.8405694147175,410.0,654.0,850.0,1119.5,3500.0,650.0
Valby,Entire home/apt,6,12.0,1326.6666666666667,711.7547245215784,600.0,796.5,1149.0,1704.75,3011.0,600.0
Valby,Entire home/apt,7,21.0,1093.3333333333333,470.4999822883454,614.0,700.0,1021.0,1350.0,2500.0,700.0
Valby,Entire home/apt,8,1.0,2157.0,,2157.0,2157.0,2157.0,2157.0,2157.0,2157.0
Valby,Entire home/apt,10,3.0,908.3333333333334,94.64847243000456,800.0,875.0,950.0,962.5,975.0,800.0
Valby,Entire home/apt,14,5.0,774.0,369.97297198579247,500.0,520.0,650.0,800.0,1400.0,500.0
Valby,Entire home/apt,15,1.0,956.0,,956.0,956.0,956.0,956.0,956.0,956.0
Valby,Entire home/apt,20,1.0,885.0,,885.0,885.0,885.0,885.0,885.0,885.0
Valby,Entire home/apt,21,1.0,1150.0,,1150.0,1150.0,1150.0,1150.0,1150.0,1150.0
Valby,Entire home/apt,28,1.0,850.0,,850.0,850.0,850.0,850.0,850.0,850.0
Valby,Entire home/apt,90,1.0,950.0,,950.0,950.0,950.0,950.0,950.0,950.0
Valby,Entire home/apt,200,1.0,2000.0,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
Valby,Private room,1,33.0,538.8787878787879,379.618044682395,146.0,328.0,409.0,593.0,2000.0,300.0
Valby,Private room,2,35.0,445.22857142857146,176.79151658418016,200.0,300.0,450.0,500.0,1074.0,500.0
Valby,Private room,3,10.0,488.8,166.13903146996427,249.0,406.25,439.5,557.25,819.0,249.0
Valby,Private room,4,4.0,537.5,47.871355387816905,500.0,500.0,525.0,562.5,600.0,500.0
Valby,Private room,6,1.0,220.0,,220.0,220.0,220.0,220.0,220.0,220.0
Valby,Private room,7,5.0,703.4,463.98308158811136,127.0,275.0,1000.0,1000.0,1115.0,1000.0
Valby,Private room,60,1.0,195.0,,195.0,195.0,195.0,195.0,195.0,195.0
Vanløse,Entire home/apt,1,23.0,796.304347826087,318.41088874463173,269.0,575.0,717.0,995.0,1500.0,500.0
Vanløse,Entire home/apt,2,65.0,979.0461538461539,611.8241023460406,375.0,600.0,800.0,1143.0,3500.0,750.0
Vanløse,Entire home/apt,3,56.0,934.6964285714286,457.5429207742694,342.0,632.5,812.0,1100.0,2500.0,700.0
Vanløse,Entire home/apt,4,41.0,910.4146341463414,389.5601991740016,395.0,588.0,800.0,1200.0,1895.0,700.0
Vanløse,Entire home/apt,5,28.0,1098.0,633.5917016852766,379.0,736.75,925.0,1297.5,3643.0,900.0
Vanløse,Entire home/apt,6,16.0,962.3125,266.4831999082369,499.0,737.5,997.0,1197.75,1500.0,1200.0
Vanløse,Entire home/apt,7,12.0,1242.0833333333333,498.8163185953019,500.0,905.0,1314.5,1500.0,2000.0,1500.0
Vanløse,Entire home/apt,10,2.0,1160.5,226.98127676088177,1000.0,1080.25,1160.5,1240.75,1321.0,1000.0
Vanløse,Entire home/apt,12,1.0,1100.0,,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
Vanløse,Entire home/apt,13,1.0,670.0,,670.0,670.0,670.0,670.0,670.0,670.0
Vanløse,Entire home/apt,14,4.0,857.25,173.04214322913748,650.0,746.75,889.5,1000.0,1000.0,1000.0
Vanløse,Entire home/apt,16,1.0,450.0,,450.0,450.0,450.0,450.0,450.0,450.0
Vanløse,Entire home/apt,27,1.0,375.0,,375.0,375.0,375.0,375.0,375.0,375.0
Vanløse,Entire home/apt,30,2.0,405.0,148.49242404917499,300.0,352.5,405.0,457.5,510.0,300.0
Vanløse,Entire home/apt,44,1.0,600.0,,600.0,600.0,600.0,600.0,600.0,600.0
Vanløse,Private room,1,17.0,460.11764705882354,127.49749132480078,250.0,350.0,490.0,557.0,693.0,250.0
Vanløse,Private room,2,13.0,403.7692307692308,192.94738222554952,200.0,299.0,300.0,429.0,880.0,299.0
Vanløse,Private room,3,6.0,320.0,113.09288218097548,225.0,262.5,285.0,318.75,540.0,225.0
Vanløse,Private room,4,4.0,539.75,449.7261203591952,250.0,256.75,354.5,637.5,1200.0,250.0
Vanløse,Private room,5,1.0,223.0,,223.0,223.0,223.0,223.0,223.0,223.0
Vanløse,Private room,6,1.0,272.0,,272.0,272.0,272.0,272.0,272.0,272.0
Vanløse,Private room,14,1.0,275.0,,275.0,275.0,275.0,275.0,275.0,275.0
Vanløse,Private room,45,1.0,270.0,,270.0,270.0,270.0,270.0,270.0,270.0
Vesterbro-Kongens Enghave,Entire home/apt,1,203.0,1284.7832512315272,1003.4457082578311,350.0,850.0,1000.0,1416.5,7429.0,900.0
Vesterbro-Kongens Enghave,Entire home/apt,2,503.0,1224.0576540755467,779.5801778146348,300.0,841.5,1050.0,1400.0,10800.0,1000.0
Vesterbro-Kongens Enghave,Entire home/apt,3,455.0,1148.7406593406592,601.5664489532077,374.0,850.0,1001.0,1257.0,10000.0,1000.0
Vesterbro-Kongens Enghave,Entire home/apt,4,258.0,1200.453488372093,579.1431747801219,390.0,850.0,1004.0,1400.0,5990.0,1000.0
Vesterbro-Kongens Enghave,Entire home/apt,5,194.0,1120.1134020618556,523.1034408902962,303.0,844.0,1000.0,1299.75,4000.0,1000.0
Vesterbro-Kongens Enghave,Entire home/apt,6,52.0,1068.5,479.1450515158816,400.0,800.0,1000.0,1200.0,2800.0,800.0
Vesterbro-Kongens Enghave,Entire home/apt,7,72.0,1099.9166666666667,601.1612178601968,300.0,797.25,900.0,1201.0,4165.0,900.0
Vesterbro-Kongens Enghave,Entire home/apt,8,4.0,800.0,187.08286933869707,550.0,737.5,825.0,887.5,1000.0,550.0
Vesterbro-Kongens Enghave,Entire home/apt,9,3.0,1025.0,36.66060555964672,985.0,1009.0,1033.0,1045.0,1057.0,985.0
Vesterbro-Kongens Enghave,Entire home/apt,10,11.0,1114.5454545454545,471.3269276492408,638.0,780.5,898.0,1385.0,2200.0,638.0
Vesterbro-Kongens Enghave,Entire home/apt,13,3.0,1426.0,475.3062170853649,980.0,1176.0,1372.0,1649.0,1926.0,980.0
Vesterbro-Kongens Enghave,Entire home/apt,14,15.0,1127.4666666666667,558.9507858053166,550.0,775.0,900.0,1200.0,2400.0,750.0
Vesterbro-Kongens Enghave,Entire home/apt,15,2.0,1174.5,458.91230099006935,850.0,1012.25,1174.5,1336.75,1499.0,850.0
Vesterbro-Kongens Enghave,Entire home/apt,18,1.0,1157.0,,1157.0,1157.0,1157.0,1157.0,1157.0,1157.0
Vesterbro-Kongens Enghave,Entire home/apt,20,2.0,1142.5,498.510280736516,790.0,966.25,1142.5,1318.75,1495.0,790.0
Vesterbro-Kongens Enghave,Entire home/apt,21,2.0,1372.0,888.1261171703037,744.0,1058.0,1372.0,1686.0,2000.0,744.0
Vesterbro-Kongens Enghave,Entire home/apt,24,1.0,500.0,,500.0,500.0,500.0,500.0,500.0,500.0
Vesterbro-Kongens Enghave,Entire home/apt,28,1.0,1779.0,,1779.0,1779.0,1779.0,1779.0,1779.0,1779.0
Vesterbro-Kongens Enghave,Entire home/apt,29,1.0,892.0,,892.0,892.0,892.0,892.0,892.0,892.0
Vesterbro-Kongens Enghave,Entire home/apt,30,14.0,755.7142857142857,332.4902378142225,500.0,556.25,625.0,837.5,1698.0,550.0
Vesterbro-Kongens Enghave,Entire home/apt,31,1.0,1100.0,,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
Vesterbro-Kongens Enghave,Entire home/apt,35,1.0,1400.0,,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0
Vesterbro-Kongens Enghave,Entire home/apt,40,1.0,4500.0,,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0
Vesterbro-Kongens Enghave,Entire home/apt,45,1.0,550.0,,550.0,550.0,550.0,550.0,550.0,550.0
Vesterbro-Kongens Enghave,Entire home/apt,50,1.0,1100.0,,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
Vesterbro-Kongens Enghave,Entire home/apt,60,2.0,1015.5,666.8016946589144,544.0,779.75,1015.5,1251.25,1487.0,544.0
Vesterbro-Kongens Enghave,Entire home/apt,75,1.0,590.0,,590.0,590.0,590.0,590.0,590.0,590.0
Vesterbro-Kongens Enghave,Entire home/apt,90,2.0,850.0,212.13203435596427,700.0,775.0,850.0,925.0,1000.0,700.0
Vesterbro-Kongens Enghave,Entire home/apt,94,1.0,943.0,,943.0,943.0,943.0,943.0,943.0,943.0
Vesterbro-Kongens Enghave,Entire home/apt,120,1.0,1300.0,,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0
Vesterbro-Kongens Enghave,Entire home/apt,200,1.0,550.0,,550.0,550.0,550.0,550.0,550.0,550.0
Vesterbro-Kongens Enghave,Entire home/apt,600,1.0,840.0,,840.0,840.0,840.0,840.0,840.0,840.0
Vesterbro-Kongens Enghave,Private room,1,82.0,559.5853658536586,283.456528825524,199.0,400.0,476.5,618.75,1900.0,400.0
Vesterbro-Kongens Enghave,Private room,2,74.0,579.1216216216217,262.43141061909125,250.0,450.0,522.5,648.5,2000.0,450.0
Vesterbro-Kongens Enghave,Private room,3,27.0,564.4074074074074,299.59938113051766,280.0,423.5,496.0,589.5,1900.0,500.0
Vesterbro-Kongens Enghave,Private room,4,15.0,622.8,183.27465727699507,395.0,502.0,600.0,650.0,1050.0,650.0
Vesterbro-Kongens Enghave,Private room,5,3.0,588.0,106.09901036296239,489.0,532.0,575.0,637.5,700.0,489.0
Vesterbro-Kongens Enghave,Private room,6,3.0,488.6666666666667,111.0195178035526,370.0,438.0,506.0,548.0,590.0,370.0
Vesterbro-Kongens Enghave,Private room,7,6.0,727.5,645.6685682298621,194.0,462.5,500.0,665.75,2000.0,500.0
Vesterbro-Kongens Enghave,Private room,10,3.0,518.0,96.317184344228,410.0,479.5,549.0,572.0,595.0,410.0
Vesterbro-Kongens Enghave,Private room,13,1.0,250.0,,250.0,250.0,250.0,250.0,250.0,250.0
Vesterbro-Kongens Enghave,Private room,14,1.0,500.0,,500.0,500.0,500.0,500.0,500.0,500.0
Vesterbro-Kongens Enghave,Private room,20,2.0,1113.5,1253.7003230437488,227.0,670.25,1113.5,1556.75,2000.0,227.0
Vesterbro-Kongens Enghave,Private room,25,1.0,186.0,,186.0,186.0,186.0,186.0,186.0,186.0
Vesterbro-Kongens Enghave,Private room,31,1.0,390.0,,390.0,390.0,390.0,390.0,390.0,390.0
Vesterbro-Kongens Enghave,Private room,60,1.0,602.0,,602.0,602.0,602.0,602.0,602.0,602.0
Vesterbro-Kongens Enghave,Private room,90,1.0,309.0,,309.0,309.0,309.0,309.0,309.0,309.0
Vesterbro-Kongens Enghave,Shared room,1,2.0,330.5,113.84419177103415,250.0,290.25,330.5,370.75,411.0,250.0
Østerbro,Entire home/apt,1,141.0,1365.8439716312057,1330.5893392654891,500.0,800.0,1061.0,1487.0,13000.0,800.0
Østerbro,Entire home/apt,2,320.0,1230.5625,887.6326175806652,391.0,800.0,1000.0,1340.25,9000.0,1000.0
Østerbro,Entire home/apt,3,282.0,1303.6737588652481,2488.9878975997294,268.0,800.0,1000.0,1400.0,41800.0,1200.0
Østerbro,Entire home/apt,4,142.0,1253.6549295774648,725.7916591999247,400.0,800.0,1075.0,1500.0,6000.0,750.0
Østerbro,Entire home/apt,5,129.0,1201.6899224806202,589.1620346736331,334.0,811.0,1050.0,1331.0,4500.0,1200.0
Østerbro,Entire home/apt,6,47.0,1219.6382978723404,678.8422185101795,400.0,797.5,1000.0,1439.5,3532.0,900.0
Østerbro,Entire home/apt,7,54.0,1275.648148148148,713.6267233501874,450.0,760.75,1000.0,1687.5,3550.0,750.0
Østerbro,Entire home/apt,8,5.0,965.8,404.27181450108543,475.0,720.0,910.0,1229.0,1495.0,475.0
Østerbro,Entire home/apt,10,13.0,828.0769230769231,193.7263798670957,420.0,700.0,900.0,911.0,1115.0,900.0
Østerbro,Entire home/apt,12,2.0,497.5,3.5355339059327378,495.0,496.25,497.5,498.75,500.0,495.0
Østerbro,Entire home/apt,14,18.0,985.7777777777778,652.4042012664123,429.0,662.5,803.5,1037.5,3314.0,700.0
Østerbro,Entire home/apt,15,3.0,1166.6666666666667,748.8880646220323,550.0,750.0,950.0,1475.0,2000.0,550.0
Østerbro,Entire home/apt,20,3.0,843.3333333333334,75.05553499465135,800.0,800.0,800.0,865.0,930.0,800.0
Østerbro,Entire home/apt,21,4.0,729.25,222.28116579383567,457.0,646.75,730.0,812.5,1000.0,457.0
Østerbro,Entire home/apt,25,1.0,1200.0,,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
Østerbro,Entire home/apt,28,2.0,825.0,35.35533905932738,800.0,812.5,825.0,837.5,850.0,800.0
Østerbro,Entire home/apt,30,3.0,772.6666666666666,254.15808728689578,500.0,657.5,815.0,909.0,1003.0,500.0
Østerbro,Entire home/apt,60,1.0,700.0,,700.0,700.0,700.0,700.0,700.0,700.0
Østerbro,Entire home/apt,90,1.0,842.0,,842.0,842.0,842.0,842.0,842.0,842.0
Østerbro,Entire home/apt,100,1.0,617.0,,617.0,617.0,617.0,617.0,617.0,617.0
Østerbro,Entire home/apt,147,1.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
Østerbro,Entire home/apt,300,1.0,947.0,,947.0,947.0,947.0,947.0,947.0,947.0
Østerbro,Private room,1,28.0,590.8214285714286,319.0151573748819,203.0,400.0,503.5,661.25,1918.0,500.0
Østerbro,Private room,2,53.0,681.5283018867924,599.1620303446108,225.0,400.0,527.0,707.0,3402.0,400.0
Østerbro,Private room,3,18.0,550.9444444444445,190.4139367805346,200.0,476.25,506.5,666.0,1000.0,500.0
Østerbro,Private room,4,10.0,498.6,137.45803399987616,257.0,452.5,510.0,599.75,650.0,650.0
Østerbro,Private room,5,4.0,430.0,213.22914122292633,240.0,270.0,390.0,550.0,700.0,240.0
Østerbro,Private room,6,1.0,700.0,,700.0,700.0,700.0,700.0,700.0,700.0
Østerbro,Private room,7,5.0,499.8,196.40570256486953,400.0,400.0,400.0,450.0,849.0,400.0
Østerbro,Private room,10,2.0,432.5,85.55992052357225,372.0,402.25,432.5,462.75,493.0,372.0
Østerbro,Private room,14,1.0,900.0,,900.0,900.0,900.0,900.0,900.0,900.0
Østerbro,Private room,28,1.0,710.0,,710.0,710.0,710.0,710.0,710.0,710.0
Østerbro,Private room,30,3.0,471.6666666666667,284.88301692683143,290.0,307.5,325.0,562.5,800.0,290.0
Østerbro,Private room,35,1.0,1500.0,,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
Østerbro,Private room,45,1.0,260.0,,260.0,260.0,260.0,260.0,260.0,260.0
Østerbro,Private room,100,1.0,283.0,,283.0,283.0,283.0,283.0,283.0,283.0
Østerbro,Private room,105,1.0,291.0,,291.0,291.0,291.0,291.0,291.0,291.0
Østerbro,Shared room,1,1.0,469.0,,469.0,469.0,469.0,469.0,469.0,469.0
